time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量,TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1714.4698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5279.42292,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,1681.8558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5224.62999,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1913.43528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6414.43641,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,1285.52551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3857.81299,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,1430.38338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4037.02539,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,1368.55104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3710.93178,0,0,0,0,0
9,1073.63471,0,0,0,0,0,0,0,0,0,0,1297.74147,0,0,0,0,0,1860.73811,0,0,0,0,0,0,0,0,0,0,3401.96928,0,0,0,0,0
10,554.09087,0,0,0,0,0,0,0,0,0,0,1320.62253,0,0,0,0,0,876.121748,0,0,0,0,0,0,0,0,0,0,3427.78601,0,0,0,0,0
11,546.040994,0,0,0,0,0,0,0,0,0,0,1224.25336,0,0,0,0,0,799.303252,0,0,0,0,0,0,0,0,0,0,3117.30371,0,0,0,0,0
12,537.344131,0,0,0,0,0,0,0,0,0,0,1281.19493,0,0,0,0,0,726.714036,0,0,0,0,0,0,0,0,0,0,3254.01761,0,0,0,0,0
13,914.76823,0,0,0,0,0,0,0,0,0,0,1282.43654,0,0,0,0,0,1240.81767,0,0,0,0,0,0,0,0,0,0,3262.12092,0,0,0,0,0
