TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5279.42292,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5224.62999,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6414.43641,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3857.81299,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4037.02539,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3710.93178,0.0,0.0,0.0,0.0,0.0
1860.73811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3401.96928,0.0,0.0,0.0,0.0,0.0
876.121748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3427.78601,0.0,0.0,0.0,0.0,0.0
799.303252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3117.30371,0.0,0.0,0.0,0.0,0.0
726.714036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3254.01761,0.0,0.0,0.0,0.0,0.0
1240.81767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3262.12092,0.0,0.0,0.0,0.0,0.0
1430.58746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3383.57567,0.0,0.0,0.0,0.0,0.0
1311.09426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3029.62286,0.0,0.0,0.0,0.0,0.0
1411.03497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3269.61627,0.0,0.0,0.0,0.0,0.0
1436.62272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3246.34692,0.0,0.0,0.0,0.0,0.0
1392.6639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3080.07656,0.0,0.0,0.0,0.0,0.0
1329.48407,3832.27166,5870.0647,5870.0647,2659.61464,954.561494,0.0,0.0,0.0,0.0,0.0,2665.77014,5547.27086,2581.48779,0.0,0.0,4135.95596
1589.68575,2670.02087,4116.78579,4116.78579,1700.36108,2776.86876,0.0,0.0,0.0,0.0,0.0,2997.84978,2971.49188,1734.10471,0.0,0.0,2813.95864
1253.76773,3570.86608,5090.06451,5090.06451,1234.01382,3268.80443,0.0,0.0,0.0,1714.13532,0.0,2867.62173,2408.14005,1612.39874,0.0,0.0,5108.93172
1469.12808,4195.31084,4707.48758,4707.48758,1348.27377,2794.83931,0.0,0.0,0.0,1340.57031,0.0,2877.1209,3454.90318,2136.19893,0.0,0.0,3600.81477
1655.56612,4862.44457,5350.92794,5350.92794,1730.52906,3557.91835,0.0,0.0,0.0,3417.99022,0.0,2779.60546,3424.39959,2619.81612,0.0,0.0,4431.64682
1232.62323,4793.58358,5446.69345,5446.69345,1725.9416,3012.6791,0.0,0.0,0.0,843.161558,0.0,2699.59725,4129.57189,3352.52374,0.0,0.0,3622.68173
1426.44611,4473.94092,5028.76437,5028.76437,4747.75467,3745.74535,0.0,0.0,0.0,2356.22164,0.0,2771.39619,3249.56583,2894.90789,0.0,0.0,3754.15328
1372.73141,4118.57887,4834.2863,4834.2863,2744.51455,3274.68495,0.0,0.0,0.0,2818.01053,0.0,3029.49171,4390.6845,3570.15859,0.0,0.0,3118.76291
1441.87219,3895.62537,4541.09499,4541.09499,1721.1296,2618.31309,0.0,0.0,0.0,1959.12206,0.0,2805.65347,3675.66275,2611.39933,0.0,0.0,2971.13274
1381.99044,4734.73707,3768.16966,3768.16966,2786.32887,2687.07186,0.0,0.0,0.0,1304.87939,0.0,2688.95884,3370.9237,2510.5581,0.0,0.0,3010.11419
1556.1294,3821.23679,4132.9633,4132.9633,2420.8337,2205.55739,0.0,0.0,0.0,1385.91486,0.0,2593.70549,3195.25299,2307.89839,0.0,0.0,2823.55232
1695.61012,3235.18778,2621.6153,2621.6153,1863.02922,2136.3076,0.0,901.641411,0.0,1798.83004,0.0,2516.01016,2981.58643,1471.51985,0.0,0.0,4611.45954
1188.48284,2808.49428,3331.31706,3331.31706,1289.52172,2369.99063,0.0,1094.41336,0.0,2446.23123,0.0,2523.00905,2747.02874,1765.45859,0.0,0.0,2312.50256
1544.35508,3183.85778,3382.57013,3382.57013,1366.3408,1928.60507,0.0,895.87794,0.0,3134.58063,1102.31154,2336.89761,2898.79524,1892.60463,0.0,0.0,2480.16481
1013.64042,2749.46014,4344.35016,4344.35016,2694.56308,1966.15567,0.0,2113.06295,0.0,3723.74303,1227.41398,2284.29717,4109.48546,2464.88982,0.0,0.0,2924.44908
832.985015,2611.72154,4388.60995,4388.60995,1937.23065,1981.6754,0.0,1384.79863,0.0,2424.7552,1276.16954,2226.37935,4701.79453,2156.37327,0.0,0.0,2605.58413
984.40572,1126.12608,3193.10707,3193.10707,1517.45817,2371.71814,0.0,907.747357,0.0,1247.63845,1424.55552,2172.00139,5362.5959,3909.28176,0.0,0.0,2103.12173
1208.96386,1744.7616,2870.85469,2870.85469,2007.96123,2074.67605,0.0,1243.76525,0.0,2456.32714,1426.73016,2117.64053,3591.06278,2774.41617,0.0,0.0,2300.31434
1079.2218,1926.63151,2211.38137,2211.38137,1697.01679,2091.19023,0.0,3548.82122,0.0,2678.34801,2457.06302,2065.11709,3853.0849,2207.89268,0.0,0.0,2055.40427
1344.77613,2587.40364,3127.33007,3127.33007,1898.71409,1885.16765,0.0,4122.7794,0.0,2502.57588,3454.23595,2012.08079,3067.71557,2607.62581,0.0,0.0,1990.20247
879.818798,2173.29525,2682.50967,2682.50967,1734.74365,1902.81289,0.0,3474.86641,0.0,2666.69248,2056.56898,1960.53234,3875.26832,2311.72819,0.0,0.0,2094.89705
828.122456,1852.5863,2352.54146,2352.54146,1310.21377,1940.18592,0.0,3516.38639,0.0,1537.46323,1708.35524,1916.84123,753.012124,2050.43137,0.0,0.0,1664.83276
921.214157,2059.18413,2287.95029,2287.95029,1049.45765,1441.95701,0.0,3080.50334,0.0,1704.92658,1090.66174,1872.65172,1641.08755,1303.33472,0.0,0.0,1705.36056
