time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1714.4698,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1681.8558,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1913.43528,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1285.52551,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1430.38338,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1368.55104,0.0,0.0,0.0,0.0,0.0
9,1073.63471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1297.74147,0.0,0.0,0.0,0.0,0.0
10,554.09087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.62253,0.0,0.0,0.0,0.0,0.0
11,546.040994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1224.25336,0.0,0.0,0.0,0.0,0.0
12,537.344131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1281.19493,0.0,0.0,0.0,0.0,0.0
13,914.76823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1282.43654,0.0,0.0,0.0,0.0,0.0
14,927.176242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1314.376,0.0,0.0,0.0,0.0,0.0
15,846.403105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1193.98557,0.0,0.0,0.0,0.0,0.0
16,874.352726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1284.12461,0.0,0.0,0.0,0.0,0.0
