time step,TS-010排水量,TS46-02排水量,TS46-03排水量,TS47-04排水量,TS47-05排水量,TS56-01排水量,TS56-02排水量,TS56-03排水量,TS56-04排水量,TS56-08排水量,TS5603D1排水量,TS57-01排水量,TS57-02排水量,TS57-03排水量,TS57-07排水量,TS57-09排水量,TS58-01排水量,TS-010产气量,TS46-02产气量,TS46-03产气量,TS47-04产气量,TS47-05产气量,TS56-01产气量,TS56-02产气量,TS56-03产气量,TS56-04产气量,TS56-08产气量,TS5603D1产气量,TS57-01产气量,TS57-02产气量,TS57-03产气量,TS57-07产气量,TS57-09产气量,TS58-01产气量
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,2441.2333984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4457.97216796875,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,1069.67114257812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1820.60363769531,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,2317.24169921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4864.7763671875,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,1515.693359375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3008.11303710937,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,972.095581054687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1874.5400390625,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,1544.57202148437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2934.78833007812,0,0,0,0,0
9,1310.26208496093,0,0,0,0,0,0,0,0,0,0,1000.27911376953,0,0,0,0,0,2069.80395507812,0,0,0,0,0,0,0,0,0,0,1858.86645507812,0,0,0,0,0
10,299.23013305664,0,0,0,0,0,0,0,0,0,0,1856.318359375,0,0,0,0,0,428.2021484375,0,0,0,0,0,0,0,0,0,0,3758.166015625,0,0,0,0,0
11,634.169982910156,0,0,0,0,0,0,0,0,0,0,1293.93664550781,0,0,0,0,0,817.76611328125,0,0,0,0,0,0,0,0,0,0,2543.14965820312,0,0,0,0,0
12,367.37939453125,0,0,0,0,0,0,0,0,0,0,1120.48571777343,0,0,0,0,0,441.400787353515,0,0,0,0,0,0,0,0,0,0,2163.87377929687,0,0,0,0,0
